timestamp,odom_roll,odom_pitch,odom_yaw,odom_vx,odom_vy,odom_vz,imu_roll,imu_pitch,imu_yaw,filtered_roll,filtered_pitch,filtered_yaw,filtered_vx,filtered_vy,filtered_vz
1752109489.1244867,0.0,0.0,0.00821694870439053,0.01959105690746321,0.007826725834491576,0.0,-0.07216752950293458,-1.5180093156879126,-1.4895020902843403,3.1057365107039825,0.5897410164727526,0.007018284779131798,0.0036741477420682875,-0.003957928208598243,-0.002330845130293708
1752109489.2244828,0.0,0.0,0.008651401668523791,-0.012007383415645551,-0.0031641627687376416,0.0,-0.18583716945395662,-1.5230769875068133,-1.3756973593690425,3.1000130252429727,0.3931666597642746,0.007643758733162365,0.006773844423678632,-0.004283463460567082,-0.0038821089170808397
1752109489.324496,0.0,0.0,0.009370430421161069,0.020496680775455876,0.0037800000269676347,0.0,-0.4648714404702661,-1.5295041036151318,-1.0964326801720947,3.1002619009722228,0.4090169324066174,0.008097682131499084,0.002440137311152337,-0.0021373692742292856,-0.0019088336735655395
1752109489.4245038,0.0,0.0,0.009747130007088297,0.00229090005772899,0.016397555395239915,0.0,-0.7942955417161547,-1.5358053905640163,-0.7665507723193814,3.1023175459483134,0.5318008476139648,0.008674643937112593,0.005927162600794371,-0.0019596065291874994,-0.003519642671425842
1752109489.5245104,0.0,0.0,0.010084093974147567,-0.004016543494372482,-0.004041120412582308,0.0,-0.32614202894992006,-1.5326307004102568,-1.233839916851804,3.102819403846805,0.4806014454418222,0.009128576007504385,0.005103888545090838,-0.004380740463529932,-0.0029430141450555365
1752109489.624474,0.0,0.0,0.010805082045946946,0.010309886504910264,0.016812228717420816,0.0,-1.0231048746068938,-1.5320981475873527,-0.5362630685260172,3.103036158091445,0.4799985177682542,0.009465853092796904,0.0032849806997957893,-0.0024040949467202914,-0.0018488069862381007
1752109489.7244816,0.0,0.0,0.011219357622198198,0.00031353974780161544,0.006666194837089465,0.0,-0.8042223148520402,-1.534261840125053,-0.7547938477005494,3.10363766705696,0.6822285464720365,0.010161406055220203,0.004116633993917127,-0.00495012273692495,-0.002935343061764487
1752109489.8578103,0.0,0.0,0.011734805503098049,0.0141321744381989,-0.004434171739551149,0.0,-0.37607852569994277,-1.5275962817892843,-1.1819374866082508,3.1022729701156937,0.5931560802984617,0.010659916525364911,0.004392378908558618,-0.004540649276777508,-0.0030395324504516276
1752109489.924551,0.0,0.0,0.012148193123408929,-0.005329653126239788,0.0033987675100876514,0.0,-0.6693872585107032,-1.5325118463127057,-0.8884814999084995,3.1024293061633124,0.6049113615861172,0.08922432094716637,0.004412796415219405,-0.004486563372251134,-0.0030775441305207975
1752109490.057824,0.0,0.0,0.012752814219702549,-0.0021383444102679528,0.009715841656391873,0.0,-0.9101261678062483,-1.5389397106583285,-0.6473183582584912,3.105167360619154,0.7123371789674596,0.011531542735144115,0.0026436417699822745,-0.003626728576323367,-0.0021355730648585044
1752109490.1244912,0.0,0.0,0.01326897437405448,0.021997028968859807,0.0027852137507552166,0.0,-0.5550080194205098,-1.5313961507111558,-1.0019465424432792,3.1045541303079975,0.6739171493750856,0.11239867150237573,0.0026297714867982926,-0.003543898084437723,-0.0020696884806690402
1752109490.1911447,0.0,0.0,0.013654271300956604,0.002745666253983417,0.003021606883137349,0.0,-0.9682985722956479,-1.5361956458271238,-0.588215349007715,3.1047710494973524,0.6736905792827821,0.012837107645954138,0.004125516556506044,-0.003116468945469172,-0.003511768536075489
